Nombre de rutas,Paradas,longuitud,latitud
México 86 - Tlanepantla,México 86,"19°35'25.20""N","99°14'52.21""W"
,Bodegas Atizapán,"19°34'07.96""N","99°15'11.24""W"
,Palacio Municipal Atizapán,"19°34'40.54""N","99°13'48.83""W"
,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"
Mexico 86 - metro 4 caminos,México 86,"19°35'25.20""N","99°14'52.21""W"
,Bodegas Atizapán,"19°34'07.96""N","99°15'11.24""W"
,Palacio Municipal Atizapán,"19°34'40.54""N","99°13'48.83""W"
,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
,Toreo,"19°27'13.28""N","99°13'10.98""W"
,Metro 4 caminos,"19°27'40.63""N","99°12'53.50""W"
México 86 - metro 4 caminos,México 86,"19°35'25.20""N","99°14'52.21""W"
,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
,Parque Naucalli,"19°29'27.14""N","99°14'35.37""W"
,Bachilleres,"19°29'06.99""N","99°12'30.26""W"
,Metro 4 caminos,"19°27'40.63""N","99°12'53.50""W"
